year,ccode,country,regime,duration,collapse,hypart,democracy2,party2,sftgcode,coup,coup.1,predyr,postcw,pastcoup,infantmort,slowgrowth,civconc,regdur,regfail,party,anocracy,xconst,gdp,constraint,constraint2,party2,rev_party,xconst3,,
1961,760,NA,NA,NA,NA,NA,0,NA,BHU,0,0,1962,0,0,0.346962314,NA,0,NA,NA,NA,0,1,NA,0,0,NA,NA,-2,,
1962,517,NA,NA,NA,NA,NA,0,NA,RWA,0,0,1963,0,0,NA,0,1,NA,NA,NA,1,1,128000000.1,0,0,NA,NA,-2,,
1962,760,NA,NA,NA,NA,NA,0,NA,BHU,0,0,1963,0,0,0.36373313,NA,0,NA,NA,NA,0,1,NA,0,0,NA,NA,-2,,
1963,760,NA,NA,NA,NA,NA,0,NA,BHU,0,0,1964,0,0,0.386756215,NA,0,NA,NA,NA,0,1,NA,0,0,NA,NA,-2,,
1964,553,NA,NA,NA,NA,NA,0,NA,MAW,0,0,1965,0,0,NA,0,0,NA,NA,NA,0,1,229460183.7,0,0,NA,NA,-2,,
1964,760,NA,NA,NA,NA,NA,0,NA,BHU,0,0,1965,0,0,0.375146606,NA,0,NA,NA,NA,0,1,NA,0,0,NA,NA,-2,,
1965,760,NA,NA,NA,NA,NA,0,NA,BHU,0,0,1966,0,0,0.376191635,NA,0,NA,NA,NA,0,1,NA,0,0,NA,NA,-2,,
1966,760,NA,NA,NA,NA,NA,0,NA,BHU,0,0,1967,0,0,0.394715861,NA,0,NA,NA,NA,0,1,NA,0,0,NA,NA,-2,,
1967,760,NA,NA,NA,NA,NA,0,NA,BHU,0,0,1968,0,0,0.4470367,NA,0,NA,NA,NA,0,1,NA,0,0,NA,NA,-2,,
1968,760,NA,NA,NA,NA,NA,0,NA,BHU,0,0,1969,0,0,0.440859847,NA,0,NA,NA,NA,0,1,NA,0,0,NA,NA,-2,,
1969,411,NA,NA,NA,NA,NA,0,NA,EQG,1,0,1970,0,1,0.420052396,NA,1,NA,NA,NA,0,1,66331428.57,0,0,NA,NA,-2,,
1969,760,NA,NA,NA,NA,NA,0,NA,BHU,0,0,1970,0,0,0.454293094,NA,0,NA,NA,NA,0,1,NA,0,0,NA,NA,-2,,
1970,411,NA,NA,NA,NA,NA,0,NA,EQG,0,0,1971,0,1,0.444567228,NA,1,NA,NA,NA,0,1,64946954.76,0,0,NA,NA,-2,,
1970,760,NA,NA,NA,NA,NA,0,NA,BHU,0,0,1971,0,0,0.481562975,NA,0,NA,NA,NA,0,1,NA,0,0,NA,NA,-2,,
1971,411,NA,NA,NA,NA,NA,0,NA,EQG,0,0,1972,0,1,0.467662829,NA,1,NA,NA,NA,0,1,65429198.24,0,0,NA,NA,-2,,
